機種,階別,料號,備註,工時更新狀況,"System
Total工時
(Min)",System工時明细,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,預留欄位,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,預留欄位.1,2020/07/13新增,Unnamed: 37,2020/05/18新增,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,,,,,,線外加工,,,,組裝,,,,Hi-pot,,Burn-in,,ETT,,測試,,,,,,目檢+包裝,,,,,,,,,無,測試,累計,前測試,,,,,,後測試,,,,,
,,,,,,"正常工時
(Min)","標準工時
(Min)",人力/站位,"換線工時
(Min)","正常工時
(Min)","標準工時
(Min)",人力/站位,"換線工時
(Min)","正常工時
(Min)","標準工時
(Min)","正常工時
(Min)","標準工時
(Min)","正常工時
(Min)","標準工時
(Min)","單機工時
(Min)","標準工時
(Min)","多機工時
(Min)",機數,"標準工時
(Min)","換線工時
(Min)","正常工時
(Min)",標準工時,人力/站位,"換線工時
(Min)",,,,,,無,測試工時(單機、多機二選一),測試+Burn-in + ETT+目檢+包裝,"單機工時
(Min)","標準工時
(Min)","多機工時
(Min)",機數,"標準工時
(Min)","換線工時
(Min)","單機工時
(Min)","標準工時
(Min)","多機工時
(Min)",機數,"標準工時
(Min)","換線工時
(Min)"
,,,,,,,0.1,,,,0.1,,,,0.1,,0.1,,0.1,,0.1,,,0.1,,,0.1,,,,,,,,無,,,,0.1,,,0.1,,,0.1,,,0.1,
FRONT PANEL ASSEMBLY II BT2 ADLINK FA,US,US-99751-0C0E,US-99751-0C,,63,,0,1,0,,23,6,18,,0,,15,,0,,15,,1,15,4,,10,3,12,,,,,,,15,40,,0,,0,0,0,,15,,1,15,4
TPC-99758-1930(MXC-6301D),TPC,TPC-99758-1930,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1920(MXC-6322D),TPC,TPC-99758-1920,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1880(MXC-6302D)(EOL),TPC,TPC-99758-1880,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1870(MXC-6311D)(EOL),TPC,TPC-99758-1870,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1860(MXC-6321D)(EOL),TPC,TPC-99758-1860,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-185S(MXC-6303D)(EOL),TPC,TPC-99758-185S,TPC-99758-1,,75,,0,0,0,,30,6,18,,0,,0,,20,,15,,1,15,8,,10,3,12,,,,,,,15,45,,0,,1,15,4,,15,,0,0,4
TPC-99758-1840(MXC-6301D)(EA)(EOL),TPC,TPC-99758-1840,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1830(MXC-6301D),TPC,TPC-99758-1830,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-182S(MXC-6301D),TPC,TPC-99758-182S,TPC-99758-1,,75,,0,0,0,,30,6,18,,0,,0,,20,,15,,1,15,8,,10,3,12,,,,,,,15,45,,0,,1,15,4,,15,,0,0,4
TPC-99758-1810(MXC-6301D),TPC,TPC-99758-1810,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-180S(MXC-6301D),TPC,TPC-99758-180S,TPC-99758-1,,75,,0,0,0,,30,6,18,,0,,0,,20,,15,,1,15,8,,10,3,12,,,,,,,15,45,,0,,1,15,4,,15,,0,0,4
TPC-99758-179S(MXC-6321D),TPC,TPC-99758-179S,TPC-99758-1,,75,,0,0,0,,30,6,18,,0,,0,,20,,15,,1,15,8,,10,3,12,,,,,,,15,45,,0,,1,15,4,,15,,0,0,4
TPC-99758-1770(MXC-6322D),TPC,TPC-99758-1770,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1760(MXC-6325D),TPC,TPC-99758-1760,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1750(MXC-6301D),TPC,TPC-99758-1750,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1740(MXC-6301D)(EA),TPC,TPC-99758-1740,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1730(MXC-6302D)(EA),TPC,TPC-99758-1730,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1720(MXC-6301D),TPC,TPC-99758-1720,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1710(MXC-6301D),TPC,TPC-99758-1710,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1700(MXC-6302D),TPC,TPC-99758-1700,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1690(MXC-6302D)(EA),TPC,TPC-99758-1690,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1680(MXC-6323D),TPC,TPC-99758-1680,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1650(MXC-6301D),TPC,TPC-99758-1650,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1640(MXC-6313D),TPC,TPC-99758-1640,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1630(MXC-6301D)(EA),TPC,TPC-99758-1630,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1620(MXC-6301D),TPC,TPC-99758-1620,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-160S(MXC-6303D),TPC,TPC-99758-160S,TPC-99758-1,,75,,0,0,0,,30,6,18,,0,,0,,20,,15,,1,15,8,,10,3,12,,,,,,,15,45,,0,,1,15,4,,15,,0,0,4
TPC-99758-1590(MXC-6301D),TPC,TPC-99758-1590,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1580(MXC-6302D),TPC,TPC-99758-1580,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1570(MXC-6301D)(EA),TPC,TPC-99758-1570,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1560(MXC-6322D),TPC,TPC-99758-1560,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1550(MXC-6303D),TPC,TPC-99758-1550,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1540(MXC-6301D),TPC,TPC-99758-1540,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1530(MXC-6313D),TPC,TPC-99758-1530,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1520(MXC-6322D),TPC,TPC-99758-1520,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1510(MXC-6301D)(EA),TPC,TPC-99758-1510,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1500(MXC-6322D),TPC,TPC-99758-1500,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1490(MXC-6321D)(EA),TPC,TPC-99758-1490,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1480(MXC-6302D)(EA),TPC,TPC-99758-1480,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1470(MXC-6321D)(EA),TPC,TPC-99758-1470,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-146S(MXC-6301D/Fan),TPC,TPC-99758-146S,TPC-99758-1,,75,,0,0,0,,30,6,18,,0,,0,,20,,15,,1,15,8,,10,3,12,,,,,,,15,45,,0,,1,15,4,,15,,0,0,4
TPC-99758-1450(MXC-6321D/M8G),TPC,TPC-99758-1450,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1440(MXC-6301D/M8G)(EA),TPC,TPC-99758-1440,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1430(MXC-6301D/M8G)(EA),TPC,TPC-99758-1430,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-142S(MXC-6303D),TPC,TPC-99758-142S,TPC-99758-1,,75,,0,0,0,,30,6,18,,0,,0,,20,,15,,1,15,8,,10,3,12,,,,,,,15,45,,0,,1,15,4,,15,,0,0,4
TPC-99758-1410(MXC-6302D)(EA),TPC,TPC-99758-1410,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1400(MXC-6301D),TPC,TPC-99758-1400,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1390(MXC-6303D),TPC,TPC-99758-1390,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1380(MXC-6325D)(EA),TPC,TPC-99758-1380,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1370(MXC-6301D),TPC,TPC-99758-1370,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1330(MXC-6313D),TPC,TPC-99758-1330,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
(STOP)TPC-99758-1270(MXC-6325D),TPC,TPC-99758-1270,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-1090(MXC-6301D)(EA),TPC,TPC-99758-1090,TPC-99758-1,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-99758-078S(MXC-6303D),TPC,TPC-99758-078S,TPC-99758-0,,75,,0,0,0,,30,6,18,,0,,0,,20,,15,,1,15,8,,10,3,12,,,,,,,15,45,,0,,1,15,4,,15,,0,0,4
TPC-99758-0730(MXC-6301D)(EA),TPC,TPC-99758-0730,TPC-99758-0,,66,,0,0,0,,30,6,18,,0,,20,,0,,6,,0,0,4,,10,3,12,,,,,,,6,36,,0,,0,0,0,,6,,0,0,4
TPC-45201-0000(DLAP-4001),TPC,TPC-45201-0000,TPC-45201-0,,75,,0,0,0,,30,6,18,,0,,15,,0,,20,,1,12,4,,10,3,12,,,,,,,12,37,,0,,0,0,0,,20,,1,12,4
TPC-45200-0110(DLAP-3100),TPC,TPC-45200-0110,TPC-45200-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,0,0,4,,10,3,12,,,,,,,20,30,,0,,0,0,0,,20,,0,0,4
TPC-45200-0100(DLAP-3200-CFP12),TPC,TPC-45200-0100,TPC-45200-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,0,0,4,,10,3,12,,,,,,,20,30,,0,,0,0,0,,20,,0,0,4
TPC-45200-0090(DLAP-3200-CFP12),TPC,TPC-45200-0090,TPC-45200-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,0,0,4,,10,3,12,,,,,,,20,30,,0,,0,0,0,,20,,0,0,4
TPC-45200-0080(DLAP-3100-CFP12),TPC,TPC-45200-0080,TPC-45200-0,,75,,0,0,0,,30,6,18,,0,,15,,0,,20,,0,0,4,,10,3,12,,,,,,,20,45,,0,,0,0,0,,20,,0,0,4
TPC-45200-0070(DLAP-3100-CFP12),TPC,TPC-45200-0070,TPC-45200-0,,75,,0,0,0,,30,6,18,,0,,15,,0,,20,,0,0,4,,10,3,12,,,,,,,20,45,,0,,0,0,0,,20,,0,0,4
TPC-45200-0060(DLAP-3000-CFP12),TPC,TPC-45200-0060,TPC-45200-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,1,12,4,,10,3,12,,,,,,,12,22,,0,,0,0,0,,20,,1,12,4
TPC-45200-0050(DLPA-3200-CFP12),TPC,TPC-45200-0050,TPC-45200-0,,75,,0,0,0,,30,6,18,,0,,15,,0,,20,,1,12,4,,10,3,12,,,,,,,12,37,,0,,0,0,0,,20,,1,12,4
TPC-45200-0040(DLAP-3100-CFP12),TPC,TPC-45200-0040,TPC-45200-0,,75,,0,0,0,,30,6,18,,0,,15,,0,,20,,1,12,4,,10,3,12,,,,,,,12,37,,0,,0,0,0,,20,,1,12,4
TPC-45200-0030(DLAP-3000-CFP12),TPC,TPC-45200-0030,TPC-45200-0,,75,,0,0,0,,30,6,18,,0,,15,,0,,20,,1,12,4,,10,3,12,,,,,,,12,37,,0,,0,0,0,,20,,1,12,4
TPC-45200-0020(DLAP-3100-CFP12),TPC,TPC-45200-0020,TPC-45200-0,,75,,0,0,0,,30,6,18,,0,,15,,0,,20,,1,12,4,,10,3,12,,,,,,,12,37,,0,,0,0,0,,20,,1,12,4
TPC-45200-0010(DLAP-3200-CFP12),TPC,TPC-45200-0010,TPC-45200-0,,75,,0,0,0,,30,6,18,,0,,15,,0,,20,,1,12,4,,10,3,12,,,,,,,12,37,,0,,0,0,0,,20,,1,12,4
TPC-45108-0020 (DLAP-411),TPC,TPC-45108-0020,TPC-45108-0,,70,,0,0,0,,30,6,18,,0,,0,,0,,30,,0,0,4,,10,3,12,,,,,,,30,40,,0,,0,0,0,,30,,0,0,4
TPC-45105-0010 (DLAP-411),TPC,TPC-45108-0010,TPC-45108-0,,70,,0,0,0,,30,6,18,,0,,0,,0,,30,,0,0,4,,10,3,12,,,,,,,30,40,,0,,0,0,0,,30,,0,0,4
TPC-45105-0020(DLAP-401-Xavier),TPC,TPC-45105-0020,TPC-45105-0,,85,,0,0,0,,30,6,18,,0,,15,,0,,30,,0,0,4,,10,3,12,,,,,,,30,55,,0,,0,0,0,,30,,0,0,4
TPC-45105-0010(DLAP-401-Xavier),TPC,TPC-45105-0010,TPC-45105-0,,85,,0,0,0,,30,6,18,,0,,15,,0,,30,,1,12,4,,10,3,12,,,,,,,12,37,,0,,0,0,0,,30,,1,12,4
TPC-45103-0060(DLAP-211-Orin),TPC,TPC-45103-0060,TPC-45103-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,0,0,4,,10,3,12,,,,,,,20,30,,0,,0,0,0,,20,,0,0,4
TPC-45103-0050(DLAP-211-Orin),TPC,TPC-45103-0050,TPC-45103-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,0,0,4,,10,3,12,,,,,,,20,30,,0,,0,0,0,,20,,0,0,4
TPC-45103-0040(DLAP-211-JNX),TPC,TPC-45103-0040,TPC-45103-0,,75,,0,0,0,,30,6,18,,0,,15,,0,,20,,0,0,4,,10,3,12,,,,,,,20,45,,0,,0,0,0,,20,,0,0,4
TPC-45103-0030(DLAP-211-JNX 16GB),TPC,TPC-45103-0030,TPC-45103-0,,75,,0,0,0,,30,6,18,,0,,15,,0,,20,,0,0,4,,10,3,12,,,,,,,20,45,,0,,0,0,0,,20,,0,0,4
TPC-45103-0020(DLAP-211-NanoS),TPC,TPC-45103-0020,TPC-45103-0,,75,,0,0,0,,30,6,18,,0,,15,,0,,20,,1,12,4,,10,3,12,,,,,,,12,37,,0,,0,0,0,,20,,1,12,4
TPC-45103-0010(DLAP-211-JNX),TPC,TPC-45103-0010,TPC-45103-0,,75,,0,0,0,,30,6,18,,0,,15,,0,,20,,1,12,4,,10,3,12,,,,,,,12,37,,0,,0,0,0,,20,,1,12,4
TPC-41057-0010 (MXC-3301),TPC,TPC-41057-0010,TPC-41057-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,0,0,4,,10,3,12,,,,,,,20,30,,0,,0,0,0,,20,,0,0,4
TPC-41055-0010 (MXE-231),TPC,TPC-41055-0010,TPC-41055-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,0,0,4,,10,3,12,,,,,,,20,30,,0,,0,0,0,,20,,0,0,4
TPC-41055-0000 (MXE-231),TPC,TPC-41055-0000,TPC-41055-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,0,0,4,,10,3,12,,,,,,,20,30,,0,,0,0,0,,20,,0,0,4
TPC-41053-0220(MVP-6225T),TPC,TPC-41053-0220,TPC-41053-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,0,0,4,,10,3,12,,,,,,,20,30,,0,,0,0,0,,20,,0,0,4
TPC-41053-0210(MVP-6229),TPC,TPC-41053-0210,TPC-41053-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,0,0,4,,10,3,12,,,,,,,20,30,,0,,0,0,0,,20,,0,0,4
TPC-41053-0140(MVP-6227),TPC,TPC-41053-0180,TPC-41053-0,,57,,0,0,0,,30,6,18,,0,,0,,0,,17,,0,0,4,,10,3,12,,,,,,,17,27,,0,,0,0,0,,17,,0,0,4
TPC-41053-0140(MVP-6227),TPC,TPC-41053-0140,TPC-41053-0,,57,,0,0,0,,30,6,18,,0,,0,,0,,17,,0,0,4,,10,3,12,,,,,,,17,27,,0,,0,0,0,,17,,0,0,4
TPC-41053-0130(MVP-6249),TPC,TPC-41053-0130,TPC-41053-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,1,12,4,,10,3,12,,,,,,,12,22,,0,,0,0,0,,20,,1,12,4
TPC-41053-0120(MVP-6249),TPC,TPC-41053-0120,TPC-41053-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,0,0,4,,10,3,12,,,,,,,20,30,,0,,0,0,0,,20,,0,0,4
TPC-41053-0110(MVP-6245/M32G),TPC,TPC-41053-0110,TPC-41053-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41053-0100(MVP-6247),TPC,TPC-41053-0100,TPC-41053-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41053-0090(MVP-6225T),TPC,TPC-41053-0090,TPC-41053-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41053-0080(MVP-6249),TPC,TPC-41053-0080,TPC-41053-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41053-0070(MVP-6247T),TPC,TPC-41053-0070,TPC-41053-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41053-0060 (MVP-6229),TPC,TPC-41053-0060,TPC-41053-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41053-0050(MVP-6229),TPC,TPC-41053-0050,TPC-41053-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41053-0040 (MVP-6249),TPC,TPC-41053-0040,TPC-41053-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41053-0020(MVP-6229),TPC,TPC-41053-0030,TPC-41053-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41053-0020(MVP-6227T),TPC,TPC-41053-0020,TPC-41053-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,1,12,4,,10,3,12,,,,,,,12,42,,0,,0,0,0,,20,,1,12,4
TPC-41053-0010(MVP-6249),TPC,TPC-41053-0010,TPC-41053-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,1,12,4,,10,3,12,,,,,,,12,42,,0,,0,0,0,,20,,1,12,4
TPC-41052-0180(MVP-5207),TPC,TPC-41052-0180,TPC-41052-0,,77,,0,0,0,,30,6,18,,0,,20,,0,,17,,0,0,4,,10,3,12,,,,,,,17,47,,0,,0,0,0,,17,,0,0,4
TPC-41052-0170 (MVP-5205T),TPC,TPC-41052-0170,TPC-41052-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41052-0130(MVP-5207),TPC,TPC-41052-0130,TPC-41052-0,,77,,0,0,0,,30,6,18,,0,,20,,0,,17,,0,0,4,,10,3,12,,,,,,,17,47,,0,,0,0,0,,17,,0,0,4
TPC-41052-0120(MVP-5205),TPC,TPC-41052-0120,TPC-41052-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41052-0110(DLAP-5200-3DP),TPC,TPC-41052-0110,TPC-41052-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41052-0100(DLAP-5207),TPC,TPC-41052-0100,TPC-41052-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41052-0090(DLAP-5207),TPC,TPC-41052-0090,TPC-41052-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41052-0080(MVP-5205),TPC,TPC-41052-0080,TPC-41052-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41052-0070 (MVP-5205T),TPC,TPC-41052-0070,TPC-41052-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
TPC-41052-0060 (MVP-5207T),TPC,TPC-41052-0060,TPC-41052-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,1,12,4,,10,3,12,,,,,,,12,22,,0,,0,0,0,,20,,1,12,4
TPC-41052-0050 (MVP-5207),TPC,TPC-41052-0050,TPC-41052-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,1,12,4,,10,3,12,,,,,,,12,22,,0,,0,0,0,,20,,1,12,4
TPC-41052-0040 (MVP-5207),TPC,TPC-41052-0040,TPC-41052-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,1,12,4,,10,3,12,,,,,,,12,22,,0,,0,0,0,,20,,1,12,4
TPC-41052-0030 (MVP-5207),TPC,TPC-41052-0030,TPC-41052-0,,60,,0,0,0,,30,6,18,,0,,0,,0,,20,,1,12,4,,10,3,12,,,,,,,12,22,,0,,0,0,0,,20,,1,12,4
TPC-41052-0020 (MVP-5205T),TPC,TPC-41052-0020,TPC-41052-0,,80,,0,0,0,,30,6,18,,0,,20,,0,,20,,0,0,4,,10,3,12,,,,,,,20,50,,0,,0,0,0,,20,,0,0,4
